Região metropolitana;População residente;População em área urbana;População em área não urbanizada;População em área isolada;Área rural;Aglomerado urbano;Povoado;Núcleo;Outros aglomerados;Código unidade
Homens;646259;565095;6697;5002;33648;5265;27456;;3096;10
Mulheres;704745;627107;6609;4987;31324;5240;26766;;2712;10
CearáMirim;68141;35494;;;13183;82;15245;;4137;2402600
Homens;33747;16954;;;6870;36;7674;;2213;2402600
Mulheres;34394;18540;;;6313;46;7571;;1924;2402600
Extremoz;24569;9403;;6366;4241;452;3950;;157;2403608
Homens;12195;4539;;3189;2176;226;1982;;83;2403608
Mulheres;12374;4864;;3177;2065;226;1968;;74;2403608
Macaíba;69467;42631;;;14905;5909;4787;;1235;2407104
Homens;34434;20685;;;7681;3019;2392;;657;2407104
Mulheres;35033;21946;;;7224;2890;2395;;578;2407104
Monte Alegre;20685;9002;;;7042;1124;3517;;;2407807
Homens;10275;4365;;;3619;548;1743;;;2407807
Mulheres;10410;4637;;;3423;576;1774;;;2407807
Natal;803739;803736;3;;;;;;;2408102
Homens;377947;377945;2;;;;;;;2408102
Mulheres;425792;425791;1;;;;;;;2408102
Nísia Floresta;23784;5757;;3623;7579;;6825;;;2408201
Homens;12288;2829;;1813;3980;;3666;;;2408201
Mulheres;11496;2928;;1810;3599;;3159;;;2408201
Parnamirim;202456;202456;;;;;;;;2403251
Homens;96995;96995;;;;;;;;2403251
Mulheres;105461;105461;;;;;;;;2403251
São Gonçalo do Amarante;87668;60796;13303;;4606;1397;7566;;;2412005
Homens;43179;29595;6695;;2403;689;3797;;;2412005
Mulheres;44489;31201;6608;;2203;708;3769;;;2412005
São José de Mipibu;39776;18232;;;11488;1541;8236;;279;2412203
Homens;19844;8834;;;5934;747;4186;;143;2412203
Mulheres;19932;9398;;;5554;794;4050;;136;2412203
Vera Cruz;10719;4695;;;1928;;4096;;;2414803
Homens;5355;2354;;;985;;2016;;;2414803
Mulheres;5364;2341;;;943;;2080;;;2414803
Campina Grande  PB;687039;513539;;6015;137896;16490;13099;;;2502
Homens;330150;243115;;2942;69634;8067;6392;;;2502
Mulheres;356889;270424;;3073;68262;8423;6707;;;2502
Alagoa Nova;19681;9794;;;9459;;428;;;2500403
Homens;9761;4760;;;4793;;208;;;2500403
Mulheres;9920;5034;;;4666;;220;;;2500403
Areial;6470;4600;;;1870;;;;;2501203
Homens;3058;2140;;;918;;;;;2501203
Mulheres;3412;2460;;;952;;;;;2501203
Aroeiras;19082;9531;;;9353;;198;;;2501302
Homens;9222;4493;;;4624;;105;;;2501302
Mulheres;9860;5038;;;4729;;93;;;2501302
Barra de Santana;8206;731;;;5773;160;1542;;;2501575
Homens;4147;367;;;2979;73;728;;;2501575
Mulheres;4059;364;;;2794;87;814;;;2501575
Boa Vista;6227;3208;;;2687;332;;;;2502151
Homens;3085;1526;;;1393;166;;;;2502151
Mulheres;3142;1682;;;1294;166;;;;2502151
Boqueirão;16888;12006;;;4107;168;607;;;2502508
Homens;8323;5785;;;2164;84;290;;;2502508
Mulheres;8565;6221;;;1943;84;317;;;2502508
Campina Grande;385213;367209;;;12699;4057;1248;;;2504009
Homens;182205;173191;;;6427;1968;619;;;2504009
Mulheres;203008;194018;;;6272;2089;629;;;2504009
Caturité;4543;1024;;;2532;;987;;;2504355
Homens;2300;505;;;1301;;494;;;2504355
Mulheres;2243;519;;;1231;;493;;;2504355
Esperança;31095;21631;;;7431;;2033;;;2506004
Homens;15155;10323;;;3822;;1010;;;2506004
Mulheres;15940;11308;;;3609;;1023;;;2506004
Fagundes;11405;5465;;;5940;;;;;2506103
Homens;5607;2607;;;3000;;;;;2506103
Mulheres;5798;2858;;;2940;;;;;2506103
Gado Bravo;8376;908;;;6683;;785;;;2506251
Homens;4133;425;;;3328;;380;;;2506251
Mulheres;4243;483;;;3355;;405;;;2506251
Ingá;18180;11599;;;5537;;1044;;;2506806
Homens;8838;5583;;;2775;;480;;;2506806
Mulheres;9342;6016;;;2762;;564;;;2506806
Itatuba;10201;5955;;;3372;;874;;;2507200
Homens;5049;2908;;;1693;;448;;;2507200
Mulheres;5152;3047;;;1679;;426;;;2507200
Lagoa Seca;25900;9822;;748;11364;3966;;;;2508307
Homens;12743;4679;;362;5741;1961;;;;2508307
Mulheres;13157;5143;;386;5623;2005;;;;2508307
Massaranduba;12902;4484;;;6207;2211;;;;2509206
Homens;6245;2067;;;3080;1098;;;;2509206
Mulheres;6657;2417;;;3127;1113;;;;2509206
Matinhas;4321;682;;;3639;;;;;2509339
Homens;2151;333;;;1818;;;;;2509339
Mulheres;2170;349;;;1821;;;;;2509339
Montadas;4990;3156;;;1834;;;;;2509503
Homens;2482;1528;;;954;;;;;2509503
Mulheres;2508;1628;;;880;;;;;2509503
Pocinhos;17032;9618;;;6823;591;;;;2512002
Homens;8490;4711;;;3491;288;;;;2512002
Mulheres;8542;4907;;;3332;303;;;;2512002
Puxinanã;12923;4217;;;6327;2379;;;;2512408
Homens;6356;1995;;;3205;1156;;;;2512408
Mulheres;6567;2222;;;3122;1223;;;;2512408
Queimadas;41049;16969;;5267;13617;2240;2956;;;2512507
Homens;19936;8045;;2580;6775;1088;1448;;;2512507
Mulheres;21113;8924;;2687;6842;1152;1508;;;2512507
Riachão do Bacamarte;4264;2663;;;1204;;397;;;2512754
Homens;2082;1303;;;597;;182;;;2512754
Mulheres;2182;1360;;;607;;215;;;2512754
São Sebastião de Lagoa de Roça;11041;4659;;;6382;;;;;2515104
Homens;5423;2177;;;3246;;;;;2515104
Mulheres;5618;2482;;;3136;;;;;2515104
Serra Redonda;7050;3608;;;3056;386;;;;2515807
Homens;3359;1664;;;1510;185;;;;2515807
Mulheres;3691;1944;;;1546;201;;;;2515807
João Pessoa  PB;1198576;1112653;;3391;47248;2952;29975;;2357;28
Homens;569086;525235;;1662;24402;1474;15080;;1233;28
Mulheres;629490;587418;;1729;22846;1478;14895;;1124;28
Alhandra;18007;11153;;;2860;;3994;;;2500601
Homens;8864;5410;;;1491;;1963;;;2500601
Mulheres;9143;5743;;;1369;;2031;;;2500601
Bayeux;99716;98793;;;923;;;;;2501807
Homens;47736;47272;;;464;;;;;2501807
Mulheres;51980;51521;;;459;;;;;2501807
Caaporã;20362;17548;;;2464;;350;;;2503001
Homens;10090;8664;;;1260;;166;;;2503001
Mulheres;10272;8884;;;1204;;184;;;2503001
Cabedelo;57944;57936;;;8;;;;;2503209
Homens;27630;27625;;;5;;;;;2503209
Mulheres;30314;30311;;;3;;;;;2503209
Conde;21400;14487;;;2898;1510;2505;;;2504603
Homens;10763;7224;;;1526;768;1245;;;2504603
